cadastral_number,su_nmb,x,y
47:20:0835002:2,1,6583287.36,299533.80
47:20:0835002:2,2,6583468.93,299559.54
47:20:0835002:2,3,6583437.31,299726.78
47:20:0835002:2,4,6583353.45,299723.11
47:20:0835002:2,5,6583299.07,299723.12
47:20:0835002:2,6,6583273.77,299663.35
47:20:0835002:2,7,6583268.64,299623.93
47:20:0835002:2,1,6583287.36,299533.80
47:20:0835002:3,1,6583486.40,299964.20
47:20:0835002:3,2,6583603,299870.80
47:20:0835002:3,3,6584219,299881.30
47:20:0835002:3,4,6584246.50,299924.80
47:20:0835002:3,5,6583842.70,300306
47:20:0835002:3,6,6583598.80,300067.70
47:20:0835002:3,1,6583486.40,299964.20
47:20:0835002:4,1,6581318.56,300040.31
47:20:0835002:4,2,6581320.89,300040.26
47:20:0835002:4,3,6581320.89,300040.26
47:20:0835002:4,4,6581359.59,300098.54
47:20:0835002:4,5,6581358.53,300100.67
47:20:0835002:4,6,6581358.53,300100.67
47:20:0835002:4,7,6581288.60,300104.88
47:20:0835002:4,8,6581287.10,300103.02
47:20:0835002:4,9,6581287.10,300103.02
47:20:0835002:4,1,6581318.56,300040.31
47:20:0835002:5,1,6583869.97,300941.78
47:20:0835002:5,2,6583969.31,300990.47
47:20:0835002:5,3,6584004.88,300994.88
47:20:0835002:5,4,6584095.01,301027.28
47:20:0835002:5,5,6583955.93,301326.89
47:20:0835002:5,6,6583737.97,301225.16
47:20:0835002:5,1,6583869.97,300941.78
47:20:0835002:27,1,6584106.22,301495.12
47:20:0835002:27,2,6584063.11,301554.43
47:20:0835002:27,3,6583728.19,301401.44
47:20:0835002:27,4,6583761.88,301334.82
47:20:0835002:27,1,6584106.22,301495.12
47:20:0835002:28,1,6584063.11,301554.43
47:20:0835002:28,2,6584017.16,301617.22
47:20:0835002:28,3,6583714.36,301482.96
47:20:0835002:28,4,6583728.19,301401.44
47:20:0835002:28,1,6584063.11,301554.43
47:20:0835002:34,1,6583643.90,300758
47:20:0835002:34,2,6583708.48,300791.90
47:20:0835002:34,3,6583752.77,300831.70
47:20:0835002:34,4,6583818.01,300911.21
47:20:0835002:34,5,6583683.98,301198.94
47:20:0835002:34,6,6583512.57,301117.53
47:20:0835002:34,7,6583573.50,300992.50
47:20:0835002:34,8,6583627.21,301028.42
47:20:0835002:34,9,6583641.40,301015.28
47:20:0835002:34,10,6583644.70,301006.17
47:20:0835002:34,11,6583655.50,300994.50
47:20:0835002:34,12,6583668.27,300993.50
47:20:0835002:34,13,6583680,300978.70
47:20:0835002:34,14,6583673.50,300966.50
47:20:0835002:34,15,6583631.40,300937.93
47:20:0835002:34,16,6583603.30,300892.90
47:20:0835002:34,17,6583580.70,300839.86
47:20:0835002:34,18,6583545.50,300806.30
47:20:0835002:34,19,6583504,300788.20
47:20:0835002:34,20,6583494.20,300771.50
47:20:0835002:34,21,6583500.75,300748.85
47:20:0835002:34,22,6583522.65,300731.55
47:20:0835002:34,23,6583571.90,300728.40
47:20:0835002:34,1,6583643.90,300758
47:20:0835002:43,1,6582719.97,301205.98
47:20:0835002:43,2,6582642.47,301084.12
47:20:0835002:43,3,6582820.64,301052.60
47:20:0835002:43,4,6583049.18,301048.50
47:20:0835002:43,5,6583058.92,301150.06
47:20:0835002:43,6,6583005.02,301157.99
47:20:0835002:43,7,6582995.13,301201.62
47:20:0835002:43,1,6582719.97,301205.98
47:20:0835002:46,1,6582938.95,302133.24
47:20:0835002:46,2,6583132.69,302426.84
47:20:0835002:46,3,6583316.83,302706.19
47:20:0835002:46,4,6583334.75,302683.18
47:20:0835002:46,5,6583329.49,302675.19
47:20:0835002:46,6,6582962.25,302117.67
47:20:0835002:46,1,6582938.95,302133.24
47:20:0835002:47,1,6581524.02,300533.62
47:20:0835002:47,2,6581489.21,300506.75
47:20:0835002:47,3,6581497.32,300495.01
47:20:0835002:47,4,6581564.39,300547.37
47:20:0835002:47,5,6581573.06,300536.38
47:20:0835002:47,6,6581704.73,300637.89
47:20:0835002:47,7,6581827.59,300732.61
47:20:0835002:47,8,6581935.53,300815.83
47:20:0835002:47,9,6582018.29,300895.69
47:20:0835002:47,10,6582008,300905.18
47:20:0835002:47,11,6582036.09,300935.96
47:20:0835002:47,12,6582026.23,300945.93
47:20:0835002:47,13,6581997.81,300914.79
47:20:0835002:47,14,6581944.68,300860.01
47:20:0835002:47,15,6581908.59,300830.96
47:20:0835002:47,1,6581524.02,300533.62
47:20:0835002:65,1,6579770.26,297997.93
47:20:0835002:65,2,6579760.14,297987.71
47:20:0835002:65,3,6579847.71,297742.77
47:20:0835002:65,4,6579878.91,297701.90
47:20:0835002:65,5,6579918.57,297675.47
47:20:0835002:65,6,6579953.96,297665.49
47:20:0835002:65,7,6580126.35,297653.61
47:20:0835002:65,8,6580234.03,297633.27
47:20:0835002:65,9,6580482.59,297559.12
47:20:0835002:65,10,6580571.42,297531.49
47:20:0835002:65,11,6580744.49,297449.22
47:20:0835002:65,12,6580847.69,297365.56
47:20:0835002:65,13,6580966.84,297299.66
47:20:0835002:65,14,6581068.86,297263.81
47:20:0835002:65,15,6581245.45,297208.87
47:20:0835002:65,16,6581404.56,297168.80
47:20:0835002:65,17,6581943.02,297012.46
47:20:0835002:65,18,6582086.40,296973.88
47:20:0835002:65,19,6582409.37,296879.13
47:20:0835002:65,20,6582734.42,296801.41
47:20:0835002:65,21,6582826.37,296782.62
47:20:0835002:65,22,6583061.06,296740.93
47:20:0835002:65,23,6583168.88,296724.08
47:20:0835002:65,24,6583249.76,296715.48
47:20:0835002:65,25,6583306.46,296721.06
47:20:0835002:65,26,6583364.88,296738.20
47:20:0835002:65,27,6583354.47,296759.07
47:20:0835002:65,28,6583349.27,296757.68
47:20:0835002:65,29,6583346.28,296746.53
47:20:0835002:65,30,6583303.81,296735.16
47:20:0835002:65,31,6583253.04,296729.52
47:20:0835002:65,32,6583172.90,296738.03
47:20:0835002:65,33,6583069.85,296754.03
47:20:0835002:65,34,6582928.57,296778.99
47:20:0835002:65,35,6582829.06,296796.67
47:20:0835002:65,36,6582737.51,296815.38
47:20:0835002:65,37,6582683.54,296827.97
47:20:0835002:65,38,6582412.97,296892.67
47:20:0835002:65,39,6582090.16,296987.37
47:20:0835002:65,40,6581933.03,297028.79
47:20:0835002:65,41,6581569.55,297131.44
47:20:0835002:65,42,6581568.55,297153.13
47:20:0835002:65,43,6581556.66,297156.49
47:20:0835002:65,44,6581544.46,297138.53
47:20:0835002:65,45,6581422.02,297173.43
47:20:0835002:65,46,6581385.25,297184.17
47:20:0835002:65,47,6581324.59,297200.76
47:20:0835002:65,48,6581241.31,297219.92
47:20:0835002:65,49,6581217.73,297227.38
47:20:0835002:65,50,6581114.18,297258.37
47:20:0835002:65,51,6581099.57,297267.53
47:20:0835002:65,52,6581094.95,297271.33
47:20:0835002:65,53,6581083.84,297275.20
47:20:0835002:65,54,6580944.99,297320.35
47:20:0835002:65,55,6580942.55,297328.53
47:20:0835002:65,56,6580900.74,297354.94
47:20:0835002:65,57,6580918.06,297358.81
47:20:0835002:65,58,6580912.86,297388.36
47:20:0835002:65,59,6580868.04,297377.99
47:20:0835002:65,60,6580722.45,297480.28
47:20:0835002:65,61,6580712.72,297486.09
47:20:0835002:65,62,6580704.64,297489.54
47:20:0835002:65,63,6580688.35,297496.51
47:20:0835002:65,64,6580576.79,297547.86
47:20:0835002:65,65,6580500.38,297566.90
47:20:0835002:65,66,6580506.81,297593.12
47:20:0835002:65,67,6580495.15,297595.98
47:20:0835002:65,68,6580483.33,297598.96
47:20:0835002:65,69,6580478.45,297579.23
47:20:0835002:65,70,6580470.13,297577.79
47:20:0835002:65,71,6580237.88,297645.72
47:20:0835002:65,72,6580193.75,297656.66
47:20:0835002:65,73,6580168.50,297661.63
47:20:0835002:65,74,6580145.67,297664.96
47:20:0835002:65,75,6580098.88,297669.59
47:20:0835002:65,76,6580005.44,297674.69
47:20:0835002:65,77,6579963.53,297679.88
47:20:0835002:65,78,6579937.42,297687.75
47:20:0835002:65,79,6579918.02,297697.34
47:20:0835002:65,80,6579896.92,297710.12
47:20:0835002:65,81,6579881.74,297725.30
47:20:0835002:65,82,6579865.74,297745.26
47:20:0835002:65,83,6579856.70,297760.70
47:20:0835002:65,84,6579841.99,297798.83
47:20:0835002:65,1,6579770.26,297997.93
47:20:0835002:68,1,6579870.58,298134.35
47:20:0835002:68,2,6579831.46,298069.42
47:20:0835002:68,3,6579776.12,298003.82
47:20:0835002:68,4,6579770.26,297997.94
47:20:0835002:68,5,6579765.59,297993.19
47:20:0835002:68,6,6579760.14,297987.71
47:20:0835002:68,7,6579758.27,297985.80
47:20:0835002:68,8,6579746.51,298013.48
47:20:0835002:68,9,6579805.10,298080.40
47:20:0835002:68,10,6579843.19,298141.85
47:20:0835002:68,11,6579900.48,298273.85
47:20:0835002:68,12,6580127.21,298892.31
47:20:0835002:68,13,6580278.40,299214.80
47:20:0835002:68,14,6580309.69,299327.12
47:20:0835002:68,15,6580345.97,299448.38
47:20:0835002:68,16,6580359.32,299444.16
47:20:0835002:68,17,6580372.67,299439.94
47:20:0835002:68,18,6580337.81,299323.85
47:20:0835002:68,19,6580305.05,299206.19
47:20:0835002:68,20,6580153.10,298881.50
47:20:0835002:68,21,6579966.96,298374.22
47:20:0835002:68,22,6579924.84,298259.45
47:20:0835002:68,1,6579870.58,298134.35
47:20:0835002:80,1,6581420.12,299870.05
47:20:0835002:80,2,6581418.08,299873.27
47:20:0835002:80,3,6581460.96,299900.53
47:20:0835002:80,4,6581455.56,299909.02
47:20:0835002:80,5,6581461.89,299913.04
47:20:0835002:80,6,6581427.44,299966.77
47:20:0835002:80,7,6581421.52,299971.39
47:20:0835002:80,8,6581356.07,299930.76
47:20:0835002:80,9,6581375.36,299894.86
47:20:0835002:80,10,6581372.67,299893.29
47:20:0835002:80,11,6581394.16,299853.59
47:20:0835002:80,1,6581420.12,299870.05
